Symbol,Category,Asset Class,Asset Class Size,Asset Class Style,Region (General),Region (Specific),Sector (General)
NOBL,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
SPLV,Volatility Hedged Equity,Equity,Large-Cap,Blend,North America,U.S.,
EWY,Asia Pacific Equities,Equity,Large-Cap,Value,Developed Asia Pacific,South Korea,
SPSB,Corporate Bonds,Bond,,,North America,U.S.,
FTCS,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
XBI,Health & Biotech Equities,Equity,Multi-Cap,Growth,North America,U.S.,Healthcare
VGIT,Government Bonds,Bond,,,North America,U.S.,
OEF,Large Cap Growth Equities,Equity,Mega-Cap,Growth,North America,U.S.,
LMBS,Mortgage Backed Securities,Bond,,,North America,U.S.,
XLB,Materials,Equity,Large-Cap,Blend,North America,U.S.,Materials
ARKW,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,Technology
IYW,Technology Equities,Equity,Large-Cap,Growth,North America,U.S.,Technology
PGX,Preferred Stock/Convertible Bonds,Preferred Stock,Micro-Cap,Blend,North America,U.S.,
EWT,Asia Pacific Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Taiwan,
AAXJ,Asia Pacific Equities,Equity,Large-Cap,Blend,Broad Asia,Pacific ex-Japan,
CWB,Preferred Stock/Convertible Bonds,Bond,,,North America,U.S.,
MCHI,China Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,China,
HDV,Large Cap Value Equities,Equity,Large-Cap,Blend,North America,U.S.,
FNDX,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
FLOT,Corporate Bonds,Bond,,,Developed Markets,Broad,
SOXX,Technology Equities,Equity,Large-Cap,Growth,North America,U.S.,Technology
IJT,Small Cap Growth Equities,Equity,Micro-Cap,Growth,North America,U.S.,
FPE,Preferred Stock/Convertible Bonds,Preferred Stock,Multi-Cap,Blend,North America,U.S.,
FNDF,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,
SPEM,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,
SPIB,Corporate Bonds,Bond,,,Developed Markets,Broad,
SKYY,Technology Equities,Equity,Multi-Cap,Growth,North America,U.S.,Technology
BKLN,High Yield Bonds,Bond,,,Developed Markets,Broad,
EWZ,Latin America Equities,Equity,Large-Cap,Blend,Latin America,Brazil,
ICLN,Alternative Energy Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,Energy
VCR,Consumer Discretionary Equities,Equity,Large-Cap,Growth,North America,U.S.,Consumer Discretionary
VONG,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
DGRW,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,
USIG,Corporate Bonds,Bond,,,Developed Markets,Broad,
VCLT,Corporate Bonds,Bond,,,North America,U.S.,
SPAB,Total Bond Market,Bond,,,Developed Markets,Broad,
VDC,Consumer Staples Equities,Equity,Large-Cap,Blend,North America,U.S.,Consumer Staples
INDA,Asia Pacific Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,India,
SMH,Technology Equities,Equity,Large-Cap,Growth,Developed Markets,Broad,Technology
FTEC,Technology Equities,Equity,Large-Cap,Growth,North America,U.S.,Technology
VPL,Asia Pacific Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Broad,
ICSH,Corporate Bonds,Bond,,,Developed Markets,Broad,
SCHH,Real Estate,Real Estate,Multi-Cap,Blend,North America,U.S.,Real Estate
VOOG,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
ACWV,Large Cap Blend Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,
VNQI,Global Real Estate,Real Estate,Multi-Cap,Blend,Developed Markets,Broad,Real Estate
EZU,Europe Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,
MOAT,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,
IGV,Technology Equities,Equity,Large-Cap,Growth,North America,U.S.,Technology
IXN,Technology Equities,Equity,Large-Cap,Growth,North America,U.S.,Technology
VTWO,Small Cap Growth Equities,Equity,Micro-Cap,Blend,North America,U.S.,
GDXJ,Materials,Equity,Multi-Cap,Blend,Developed Markets,Broad,Materials
PRF,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
AMLP,MLPs,Equity,Multi-Cap,Blend,North America,U.S.,Energy
BLV,Total Bond Market,Bond,,,North America,U.S.,
ISTB,Total Bond Market,Bond,,,North America,U.S.,
VIS,Industrials Equities,Equity,Multi-Cap,Blend,North America,U.S.,Industrials
KRE,Financials Equities,Equity,Multi-Cap,Value,North America,U.S.,Financials
FTSM,Total Bond Market,Bond,,,North America,U.S.,
VDE,Energy Equities,Equity,Multi-Cap,Value,North America,U.S.,Energy
NEAR,Total Bond Market,Bond,,,Developed Markets,Broad,
XSOE,Emerging Markets Equities,Equity,Multi-Cap,Blend,Emerging Markets,Broad,
GUNR,Commodity Producers Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,Materials
IYR,Real Estate,Real Estate,Multi-Cap,Blend,North America,U.S.,Real Estate
SPTM,All Cap Equities,Equity,Large-Cap,Blend,North America,U.S.,
SHYG,High Yield Bonds,Bond,,,North America,U.S.,
SHM,National Munis,Bond,,,North America,U.S.,
VPU,Utilities Equities,Equity,Multi-Cap,Value,North America,U.S.,Utilities
SUB,National Munis,Bond,,,North America,U.S.,
SOXL,Leveraged Equities,Equity,Large-Cap,Growth,Developed Markets,Broad,Technology
ANGL,High Yield Bonds,Bond,,,Developed Markets,Broad,
SPMD,Mid Cap Blend Equities,Equity,Small-Cap,Blend,North America,U.S.,
VONV,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
STIP,Inflation-Protected Bonds,Bond,,,North America,U.S.,
PDBC,Commodities,Commodity,,,,,
FNDA,Small Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,
BOND,Total Bond Market,Bond,,,North America,U.S.,
FXI,China Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,China,
ACWX,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Broad Asia,Broad,
IEUR,Europe Equities,Equity,Large-Cap,Blend,Developed Europe,Broad,
MGV,Large Cap Blend Equities,Equity,Mega-Cap,Blend,North America,U.S.,
IDV,Global Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,
FNDE,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,
EEMV,Asia Pacific Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,
SPSM,Small Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,
SJNK,High Yield Bonds,Bond,,,North America,U.S.,
SCHR,Government Bonds,Bond,,,North America,U.S.,
QLD,Leveraged Equities,Equity,Large-Cap,Growth,North America,U.S.,
