Symbol,Category,Asset Class,Asset Class Size,Asset Class Style,Region (General),Region (Specific),Sector (General)
PIE,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,
WDIV,Global Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,
FDD,Europe Equities,Equity,Multi-Cap,Value,Developed Europe,Broad,
MLN,National Munis,Bond,,,North America,U.S.,
USD,Leveraged Equities,Equity,Large-Cap,Growth,North America,U.S.,Technology
QID,Leveraged Equities,Equity,Large-Cap,Growth,North America,U.S.,
ADRE,Asia Pacific Equities,Equity,Mega-Cap,Blend,Emerging Markets,Broad,
AMZA,MLPs,Equity,Multi-Cap,Blend,North America,U.S.,Energy
UGL,Leveraged Commodities,Commodity,,,,,
HEEM,Emerging Markets Equities,Equity,Large-Cap,Blend,Broad Asia,Pacific ex-Japan,
PSP,Global Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,Financials
SPFF,Preferred Stock/Convertible Bonds,Preferred Stock,Micro-Cap,Blend,Developed Markets,Broad,
FAD,All Cap Equities,Equity,Multi-Cap,Growth,North America,U.S.,
BWZ,International Government Bonds,Bond,,,Developed Markets,Broad,
RYU,Utilities Equities,Equity,Multi-Cap,Value,North America,U.S.,Utilities
DBJP,Japan Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Japan,
USL,Oil & Gas,Commodity,,,,,
XMHQ,Mid Cap Blend Equities,Equity,Mid-Cap,Blend,North America,U.S.,
BIB,Leveraged Equities,Equity,Multi-Cap,Growth,North America,U.S.,Healthcare
IEUS,Europe Equities,Equity,Multi-Cap,Value,Developed Europe,Broad,Technology
RTH,Consumer Discretionary Equities,Equity,Large-Cap,Blend,North America,U.S.,Consumer Discretionary
EQL,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
DFJ,Japan Equities,Equity,Mid-Cap,Blend,Developed Asia Pacific,Japan,
FCG,Energy Equities,Equity,Multi-Cap,Blend,North America,U.S.,Energy
CPER,Metals,Commodity,,,,,
DGRS,Small Cap Blend Equities,Equity,Micro-Cap,Blend,North America,U.S.,
FXY,Currency,Currency,,,Developed Asia Pacific,Japan,
BYLD,Total Bond Market,Bond,,,Developed Markets,Broad,
ENZL,Asia Pacific Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,New Zealand,
GHYG,High Yield Bonds,Bond,,,Developed Markets,Broad,
PIZ,Foreign Large Cap Equities,Equity,Large-Cap,Growth,Global ex-U.S.,Broad,
ECON,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,Consumer Staples
QVAL,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,
DTH,Foreign Large Cap Equities,Equity,Large-Cap,Value,Developed Markets,Broad,
FXC,Currency,Currency,,,North America,Canada,
TMF,Leveraged Bonds,Bond,,,North America,U.S.,
MVV,Leveraged Equities,Equity,Small-Cap,Blend,North America,U.S.,
ATMP,MLPs,Equity,Multi-Cap,Blend,North America,U.S.,Energy
USCI,Commodities,Commodity,,,Global,Broad,
AIRR,Building & Construction ,Equity,Multi-Cap,Blend,North America,U.S.,Industrials
FXU,Utilities Equities,Equity,Mid-Cap,Value,North America,U.S.,Utilities
DIG,Leveraged Equities,Equity,Multi-Cap,Value,North America,U.S.,Energy
TOK,Large Cap Growth Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,
XSMO,Small Cap Growth Equities,Equity,Small-Cap,Blend,North America,U.S.,
IDOG,Foreign Large Cap Equities,Equity,Large-Cap,Value,Developed Markets,Broad,
EDEN,Europe Equities,Equity,Large-Cap,Growth,North America,U.S.,
XMPT,Total Bond Market,Bond,,,North America,U.S.,
FDM,Small Cap Blend Equities,Equity,Micro-Cap,Blend,North America,U.S.,
BKF,Asia Pacific Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,
PBP,Large Cap Blend Equities,Multi-Asset,Large-Cap,Blend,North America,U.S.,
FXB,Currency,Currency,,,Developed Europe,United Kingdom,
CORN,Agricultural Commodities,Commodity,,,,,
TOLZ,Utilities Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,Utilities
FXA,Currency,Currency,,,Developed Asia Pacific,Australia,
BJK,Consumer Discretionary Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,Consumer Discretionary
SPEU,Europe Equities,Equity,Large-Cap,Blend,Developed Europe,Broad,
GREK,Emerging Markets Equities,Equity,Large-Cap,Blend,Developed Europe,Greece,Financials
TIPZ,Inflation-Protected Bonds,Bond,,,North America,U.S.,
PXI,Energy Equities,Equity,Multi-Cap,Blend,North America,U.S.,Energy
JXI,Utilities Equities,Equity,Large-Cap,Value,Developed Markets,Broad,Utilities
RYE,Energy Equities,Equity,Multi-Cap,Blend,North America,U.S.,Energy
EPU,Mid Cap Blend Equities,Equity,Mid-Cap,Blend,Latin America,Peru,
XES,Energy Equities,Equity,Micro-Cap,Value,Developed Markets,Broad,Energy
EIS,Global Equities,Equity,Multi-Cap,Blend,Middle East,Israel,
DIM,Foreign Large Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,
DOO,Foreign Large Cap Equities,Equity,Large-Cap,Value,Developed Markets,Broad,
QQXT,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
GCC,Commodities,Commodity,,,Global,Broad,
XHS,Health & Biotech Equities,Equity,Multi-Cap,Blend,North America,U.S.,Healthcare
FBGX,Leveraged Equities,Equity,Large-Cap,Growth,North America,U.S.,
FAZ,Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,Financials
CURE,Leveraged Equities,Equity,Large-Cap,Growth,North America,U.S.,Healthcare
FEMS,Emerging Markets Equities,Equity,Mid-Cap,Blend,Emerging Markets,Broad,
RFV,Small Cap Value Equities,Equity,Small-Cap,Value,North America,U.S.,
RZG,Small Cap Growth Equities,Equity,Micro-Cap,Growth,North America,U.S.,
BFOR,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,
SLX,Materials,Equity,Multi-Cap,Blend,Developed Markets,Broad,Materials
HYZD,High Yield Bonds,Bond,,,North America,U.S.,
PHDG,Hedge Fund,Equity,Multi-Cap,Blend,Developed Markets,Broad,Financials
RYJ,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,
QABA,Financials Equities,Equity,Micro-Cap,Blend,North America,U.S.,Financials
EPHE,Asia Pacific Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,Philippines,
CVY,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,
EFAD,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,EAFE,
ELD,Emerging Markets Bonds,Bond,,,Emerging Markets,Broad,
AGZD,Total Bond Market,Bond,,,North America,U.S.,
PSCE,Energy Equities,Equity,Micro-Cap,Blend,North America,U.S.,Energy
RVNU,National Munis,Bond,,,North America,U.S.,
PWC,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,
PIN,Asia Pacific Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,India,
IVAL,Global Equities,Equity,Multi-Cap,Value,Global ex-U.S.,Broad,
WTMF,Hedge Fund,Alternatives,,,North America,U.S.,
RJI,Commodities,Commodity,,,,,
IPKW,Foreign Large Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,
RXL,Leveraged Equities,Equity,Large-Cap,Growth,North America,U.S.,Healthcare
GVAL,,,,,,,
DBAW,,,,,,,
HYLD,High Yield Bonds,Bond,,,Developed Markets,Broad,
PEZ,,,,,,,
INKM,Global Equities,Multi-Asset,Multi-Cap,Blend,Developed Markets,Broad,
DBEM,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,
DBP,Precious Metals,Commodity,,,,,
PZT,New York Munis,Bond,,,North America,U.S.,
VLU,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
FAB,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,
PSL,Consumer Staples Equities,Equity,Multi-Cap,Blend,North America,U.S.,Consumer Staples
DXD,Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,
UGA,Oil & Gas,Commodity,,,,,
ZJPN,Japan Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Japan,
PYZ,Materials,Equity,Multi-Cap,Blend,North America,U.S.,Materials
LOWC,Large Cap Growth Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,
IHY,High Yield Bonds,Bond,,,Global,Broad,
PSCD,Consumer Discretionary Equities,Equity,Micro-Cap,Blend,North America,U.S.,Consumer Discretionary
RIGS,High Yield Bonds,Bond,,,North America,U.S.,
EWMC,Small Cap Blend Equities,Equity,Small-Cap,Blend,North America,U.S.,
RJA,Agricultural Commodities,Commodity,,,,,
FGM,Europe Equities,Equity,Multi-Cap,Blend,North America,U.S.,
MBSD,Mortgage Backed Securities,Bond,,,North America,U.S.,
ECNS,Asia Pacific Equities,Equity,Multi-Cap,Blend,Emerging Asia Pacific,China,
EWZS,Latin America Equities,Equity,Small-Cap,Blend,Latin America,Brazil,
EWUS,Europe Equities,Equity,Mid-Cap,Value,Developed Europe,Broad,
DRN,Leveraged Real Estate,Real Estate,Multi-Cap,Blend,North America,U.S.,Real Estate
XMVM,Small Cap Value Equities,Equity,Mid-Cap,Blend,North America,U.S.,
FSZ,Europe Equities,Equity,Multi-Cap,Blend,North America,U.S.,
RETL,Leveraged Equities,Equity,Multi-Cap,Blend,North America,U.S.,Consumer Discretionary
IDHQ,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,
INDL,Leveraged Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,India,
IGN,Communications Equities,Equity,Multi-Cap,Blend,North America,U.S.,Technology
CUT,Materials,Equity,Multi-Cap,Blend,Developed Markets,Broad,Materials
BTAL,Long-Short,Alternatives,,,North America,U.S.,
SRTY,Leveraged Equities,Equity,Micro-Cap,Blend,North America,U.S.,
PSR,Real Estate,Real Estate,Multi-Cap,Blend,North America,U.S.,Real Estate
CBON,Emerging Markets Bonds,Bond,,,Emerging Asia Pacific,China,
URE,Leveraged Real Estate,Real Estate,Multi-Cap,Blend,North America,U.S.,Real Estate
DGP,Leveraged Commodities,Commodity,,,Global,Broad,
DGRE,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,
PLW,Government Bonds,Bond,,,North America,U.S.,
PICB,Corporate Bonds,Bond,,,Developed Markets,Broad,
FNK,Small Cap Value Equities,Equity,Small-Cap,Blend,North America,U.S.,
DGL,Precious Metals,Commodity,,,,,
MIDU,Leveraged Equities,Equity,Small-Cap,Blend,North America,U.S.,
HYHG,High Yield Bonds,Bond,,,North America,U.S.,
SCO,Leveraged Commodities,Commodity,,,,,
INCO,Asia Pacific Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,India,Consumer Discretionary
SOYB,Agricultural Commodities,Commodity,,,,,
DGT,Large Cap Blend Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,
RESP,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,
MINC,Total Bond Market,Bond,,,North America,U.S.,
PSCI,Industrials Equities,Equity,Micro-Cap,Blend,North America,U.S.,Industrials
QEMM,Emerging Markets Equities,Equity,Large-Cap,Blend,Broad Asia,Pacific ex-Japan,
JPXN,Japan Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Japan,
TBX,Inverse Bonds,Bond,,,North America,U.S.,
KBWR,Financials Equities,Equity,Small-Cap,Blend,North America,U.S.,Financials
IAK,Financials Equities,Equity,Multi-Cap,Blend,North America,U.S.,Financials
DBE,Oil & Gas,Commodity,,,,,
BICK,Emerging Markets Equities,Equity,Multi-Cap,Blend,Emerging Markets,BICK,
USDU,Currency,Currency,,,North America,U.S.,
PBS,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,Consumer Discretionary
WPS,Global Real Estate,Real Estate,Multi-Cap,Blend,Developed Markets,Broad,Real Estate
FRI,Real Estate,Real Estate,Multi-Cap,Blend,North America,U.S.,Real Estate
AADR,Global Equities,Equity,Multi-Cap,Blend,Global,Broad,
UDN,Currency,Currency,,,North America,U.S.,
WEAT,Agricultural Commodities,Commodity,,,,,
EQWL,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
QAT,,,,,,,
TTT,,,,,,,
XTL,Communications Equities,Equity,Multi-Cap,Blend,North America,U.S.,Telecom
MMTM,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
PBJ,Consumer Staples Equities,Equity,Multi-Cap,Blend,North America,U.S.,Consumer Staples
RLY,Hedge Fund,Alternatives,,,Developed Markets,Broad,
ISRA,Global Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,Technology
VIXM,Volatility,Volatility,,,North America,U.S.,
HYGH,High Yield Bonds,Bond,,,North America,U.S.,
CSD,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,
BOIL,Leveraged Commodities,Commodity,,,,,
KCE,Financials Equities,Equity,Multi-Cap,Blend,North America,U.S.,Financials
EET,Leveraged Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,
TWM,Leveraged Equities,Equity,Micro-Cap,Blend,North America,U.S.,
CARZ,Consumer Discretionary Equities,Equity,Large-Cap,Value,Developed Markets,Broad,Consumer Discretionary
HEWG,Europe Equities,Equity,Large-Cap,Blend,North America,U.S.,
IBDD,Corporate Bonds,Bond,,,North America,U.S.,
GURU,Large Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,
IQDE,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Broad Asia,Broad,
GLIN,Asia Pacific Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,India,
FDIV,All Cap Equities,Multi-Asset,Multi-Cap,Blend,North America,U.S.,
FILL,Energy Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,Energy
KOLD,Leveraged Commodities,Commodity,,,,,
PXE,Energy Equities,Equity,Multi-Cap,Blend,North America,U.S.,Energy
HAP,Large Cap Blend Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,Materials
DEW,Large Cap Value Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,
VEGI,Large Cap Blend Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,Materials
PXJ,Energy Equities,Equity,Multi-Cap,Value,Developed Markets,Broad,Energy
SCJ,Japan Equities,Equity,Mid-Cap,Blend,Developed Asia Pacific,Japan,
TECS,Leveraged Equities,Equity,Large-Cap,Growth,North America,U.S.,Technology
DRW,Global Real Estate,Real Estate,Multi-Cap,Blend,Developed Markets,Broad,Real Estate
SJB,Inverse Bonds,Bond,,,North America,U.S.,
EIRL,Europe Equities,Equity,Multi-Cap,Value,Developed Europe,Broad,
KORU,Leveraged Equities,Equity,Large-Cap,Value,Developed Asia Pacific,South Korea,
IPFF,Preferred Stock/Convertible Bonds,Preferred Stock,Multi-Cap,,North America,Canada,
SOXS,Leveraged Equities,Equity,Large-Cap,Growth,North America,U.S.,Technology
FTHI,Large Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,
HYXU,High Yield Bonds,Bond,,,Developed Markets,Broad,
EMCB,Emerging Markets Bonds,Bond,,,Emerging Markets,Broad,
CSF,Small Cap Blend Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,
CHIX,China Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,China,Financials
EWO,Europe Equities,Equity,Multi-Cap,Value,North America,U.S.,
QSY,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,
UYM,Leveraged Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,Materials
ISHG,International Government Bonds,Bond,,,Developed Markets,Broad,
EWSC,Small Cap Blend Equities,Equity,Micro-Cap,Blend,North America,U.S.,
EUO,Leveraged Currency,Currency,,,Developed Europe,Broad,
HDGE,Inverse Equities,Equity,Multi-Cap,Blend,North America,U.S.,Industrials
ZCAN,Global Equities,Equity,Multi-Cap,Blend,North America,Canada,
AFK,Foreign Large Cap Equities,Equity,Multi-Cap,Blend,Africa,Broad,
UMDD,Leveraged Equities,Equity,Small-Cap,Blend,North America,U.S.,
WBII,High Yield Bonds,Bond,Multi-Cap,Blend,Developed Markets,Broad,
EVX,Industrials Equities,Equity,Multi-Cap,Blend,North America,U.S.,Industrials
PFIG,Corporate Bonds,Bond,,,North America,U.S.,
CPI,Hedge Fund,Alternatives,,,North America,U.S.,
GOEX,Materials,Equity,Multi-Cap,Blend,Developed Markets,Broad,Materials
ARGT,Latin America Equities,Equity,Multi-Cap,Blend,Latin America,Argentina,
GAA,Diversified Portfolio,Multi-Asset,Multi-Cap,Blend,Developed Markets,Broad,
BBC,Health & Biotech Equities,Equity,Multi-Cap,Blend,North America,U.S.,Healthcare
ENFR,Energy Equities,Equity,Multi-Cap,Blend,North America,Broad,Energy
OIL,Oil & Gas,Commodity,,,Global,Broad,
FMF,Hedge Fund,Alternatives,,,North America,U.S.,
DEEP,Small Cap Value Equities,Equity,Multi-Cap,Value,North America,U.S.,
PUI,Utilities Equities,Equity,Multi-Cap,Blend,North America,U.S.,Utilities
QWLD,Large Cap Growth Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,
PVI,National Munis,Bond,,,North America,U.S.,
IQDY,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Broad Asia,Broad,
ROOF,Real Estate,Real Estate,Micro-Cap,Blend,North America,U.S.,Real Estate
PFI,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,Financials
CYB,Currency,Currency,,,Emerging Asia Pacific,China,
HOLD,Total Bond Market,Bond,,,North America,U.S.,
EUDG,Europe Equities,Equity,Large-Cap,Blend,Developed Europe,Broad,
PSCF,Financials Equities,Equity,Micro-Cap,Blend,North America,U.S.,Financials
WBIF,Global Equities,Equity,Multi-Cap,Value,North America,U.S.,Telecom
PSCC,Consumer Staples Equities,Equity,Micro-Cap,Blend,North America,U.S.,Consumer Staples
DBLV,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
BRF,Latin America Equities,Equity,Small-Cap,Blend,Latin America,Brazil,
ZSL,Leveraged Commodities,Commodity,,,,,
WBIG,Global Equities,Equity,Multi-Cap,Blend,North America,U.S.,
CNXT,China Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,China,
DVYA,Asia Pacific Equities,Equity,Multi-Cap,Blend,Developed Asia Pacific,Broad,
SAA,Leveraged Equities,Equity,Multi-Cap,Blend,North America,U.S.,
NORW,Europe Equities,Equity,Large-Cap,Blend,North America,U.S.,
SNLN,High Yield Bonds,Bond,,,Developed Markets,Broad,
PXQ,Technology Equities,Equity,Multi-Cap,Growth,North America,U.S.,Technology
WBIL,Global Equities,Equity,Multi-Cap,Blend,Global,Broad,Consumer Staples
EWGS,Europe Equities,Equity,Small-Cap,Value,North America,U.S.,
GXG,Latin America Equities,Equity,Multi-Cap,Blend,Latin America,Colombia,
GLL,Leveraged Commodities,Commodity,,,,,
CIZ,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,
NGE,Emerging Markets Equities,Equity,Multi-Cap,Blend,Africa,Nigeria,
GYLD,Diversified Portfolio,Multi-Asset,Multi-Cap,Blend,Developed Markets,Broad,
FJP,Japan Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Japan,
HDG,Long-Short,Alternatives,,,North America,U.S.,
MRGR,Hedge Fund,Alternatives,,,Developed Markets,Broad,
EURL,Leveraged Equities,Equity,Large-Cap,Blend,Developed Europe,Broad,
PST,Leveraged Bonds,Bond,,,North America,U.S.,
EWK,Europe Equities,Equity,Large-Cap,Value,North America,U.S.,
ASHS,China Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,China,
XPP,Leveraged Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,China,
GLCN,Foreign Large Cap Equities,Equity,Multi-Cap,Blend,Global ex-U.S.,Broad,
DAX,Europe Equities,Equity,Large-Cap,Blend,Developed Europe,Germany,
YANG,Leveraged Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,China,
BCM,Commodities,Commodity,,,,,
DDIV,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,
YCS,Leveraged Currency,Currency,,,Developed Asia Pacific,Japan,
ENOR,Europe Equities,Equity,Multi-Cap,Blend,North America,U.S.,
IPOS,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Broad Asia,Broad,
IDX,Asia Pacific Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,Indonesia,
EFNL,Europe Equities,Equity,Multi-Cap,Blend,North America,U.S.,
FID,Foreign Large Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,
RSXJ,Emerging Markets Equities,Equity,Small-Cap,Blend,Emerging Europe,Broad,
FFR,Global Real Estate,Real Estate,Multi-Cap,Blend,Developed Markets,Broad,Real Estate
ASEA,Asia Pacific Equities,Equity,Large-Cap,Blend,Broad Asia,Pacific ex-Japan,
DXGE,Europe Equities,Equity,Large-Cap,Value,North America,U.S.,
DXJS,Japan Equities,Equity,Mid-Cap,Blend,Developed Asia Pacific,Japan,
GXF,Europe Equities,Equity,Large-Cap,Blend,North America,U.S.,
CN,China Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,China,
ZDEU,Europe Equities,Equity,Large-Cap,Blend,Developed Europe,Germany,
UXI,Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,Industrials
BBP,Health & Biotech Equities,Equity,Multi-Cap,Growth,North America,U.S.,Healthcare
IBCE,Corporate Bonds,Bond,,,North America,U.S.,
RDOG,Real Estate,Real Estate,Multi-Cap,Blend,North America,U.S.,Real Estate
FYLD,Global Equities,Equity,Multi-Cap,Blend,Global ex-U.S.,Broad,
ALFA,All Cap Equities,Equity,Multi-Cap,Growth,North America,U.S.,
UAE,Emerging Markets Equities,Equity,Multi-Cap,Blend,Middle East,United Arab Emirates,
SPUU,Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,
DBV,Currency,Currency,,,Developed Markets,Broad,
UCC,Leveraged Equities,Equity,Large-Cap,Growth,North America,U.S.,Consumer Discretionary
DBS,Precious Metals,Commodity,,,,,
FEUZ,Europe Equities,Equity,Multi-Cap,Blend,Developed Europe,Broad,
EINC,Energy Equities,Equity,Multi-Cap,Blend,North America,Broad,Energy
PSCM,Materials,Equity,Micro-Cap,Blend,North America,U.S.,Materials
PSCU,Utilities Equities,Equity,Small-Cap,Blend,North America,U.S.,Utilities
SPVM,Large Cap Value Equities,Equity,Multi-Cap,Blend,North America,U.S.,
SYE,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,
EDZ,Leveraged Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,
UBT,Leveraged Bonds,Bond,,,North America,U.S.,
LBJ,Leveraged Equities,Equity,Large-Cap,Blend,Latin America,Broad,
EDOG,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,
UJB,Leveraged Bonds,Bond,,,Developed Markets,Broad,
NLR,Alternative Energy Equities,Equity,Multi-Cap,Value,Developed Markets,Broad,Energy
EUM,Inverse Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,
SRS,Leveraged Real Estate,Real Estate,Multi-Cap,Blend,North America,U.S.,Real Estate
ICOL,Latin America Equities,Equity,Multi-Cap,Blend,Latin America,Colombia,
FXP,Leveraged Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,China,
FKU,Europe Equities,Equity,Multi-Cap,Value,North America,U.S.,
FPA,Asia Pacific Equities,Equity,Large-Cap,Blend,Broad Asia,Pacific ex-Japan,
FTRI,Commodity Producers Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,Materials
QDYN,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,
UST,Leveraged Bonds,Bond,,,North America,U.S.,
EMFM,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,
GRES,Commodity Producers Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,Materials
PEX,Financials Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,Financials
EGPT,Emerging Markets Equities,Equity,Multi-Cap,Blend,Africa,Egypt,
DRV,Leveraged Real Estate,Real Estate,Multi-Cap,Blend,North America,U.S.,Real Estate
CEW,Currency,Currency,,,Emerging Markets,Broad,
RINF,Inflation-Protected Bonds,Bond,,,North America,U.S.,
QMN,Long-Short,Alternatives,,,Developed Markets,Broad,
GSP,Commodities,Commodity,,,,,
DUG,Leveraged Equities,Equity,Multi-Cap,Value,North America,U.S.,Energy
SYV,Large Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,
CHIC,China Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,China,
EMIF,Utilities Equities,Equity,Multi-Cap,Blend,Emerging Markets,Broad,Utilities
BZQ,Leveraged Equities,Equity,Large-Cap,Blend,Latin America,Brazil,
NIB,Agricultural Commodities,Commodity,,,,,
MYY,Inverse Equities,Equity,Small-Cap,Blend,North America,U.S.,
FRAK,Energy Equities,Equity,Multi-Cap,Blend,North America,U.S.,Energy
EMAG,Emerging Markets Bonds,Bond,,,Emerging Markets,Broad,
CANE,Agricultural Commodities,Commodity,,,,,
SKF,Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,Financials
PGAL,Europe Equities,Equity,Multi-Cap,Value,Developed Europe,Portugal,
TYD,Leveraged Bonds,Bond,,,North America,U.S.,
FCA,China Equities,Equity,Multi-Cap,Blend,Broad Asia,Pacific ex-Japan,
ZGBR,Europe Equities,Equity,Large-Cap,Blend,Developed Europe,United Kingdom,
DBEZ,Europe Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,
SYG,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
DBGR,Europe Equities,Equity,Large-Cap,Blend,North America,U.S.,
TYO,Leveraged Bonds,Bond,,,North America,U.S.,
EFO,Leveraged Equities,Equity,Large-Cap,Blend,Developed Markets,EAFE,
IMLP,MLPs,Equity,Multi-Cap,Blend,North America,U.S.,Energy
UPW,Leveraged Equities,Equity,Multi-Cap,Value,North America,U.S.,Utilities
VEGA,Global Equities,Multi-Asset,Large-Cap,Blend,Developed Markets,Broad,
EFZ,Inverse Equities,Equity,Large-Cap,Blend,Developed Markets,EAFE,
SMEZ,Europe Equities,Equity,Multi-Cap,Blend,Developed Europe,Broad,
XVZ,Volatility,Volatility,,,North America,U.S.,
UGE,Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,Consumer Staples
KFYP,China Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,China,
SEF,Inverse Equities,Equity,Large-Cap,Blend,North America,U.S.,Financials
BIS,Leveraged Equities,Equity,Multi-Cap,Growth,North America,U.S.,Healthcare
KCNY,Total Bond Market,Bond,,,North America,U.S.,
FLN,Latin America Equities,Equity,Multi-Cap,Blend,Latin America,Broad,
REK,Real Estate,Real Estate,Multi-Cap,Blend,North America,U.S.,Real Estate
ALTS,Long-Short,Alternatives,,,North America,U.S.,
FDTS,Foreign Small & Mid Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,
WBIE,Large Cap Growth Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,Consumer Staples
EEMO,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,
EPV,Leveraged Equities,Equity,Large-Cap,Blend,Developed Europe,Broad,
UNL,Oil & Gas,Commodity,,,,,
FLM,Building & Construction ,Equity,Mid-Cap,Blend,Developed Markets,Broad,Materials
DZZ,Leveraged Commodities,Commodity,,,Global,Broad,
IDMO,Global Equities,Equity,Multi-Cap,Blend,Global ex-U.S.,Broad,
EMSH,Emerging Markets Bonds,Bond,,,Emerging Markets,Broad,
FBZ,Latin America Equities,Equity,Multi-Cap,Blend,Latin America,Brazil,
